# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
arm,model,mode,enforcement,thinking,repeat,class,class_meaning,items,unguarded_blocked,unguarded_block_rate,gfeas_blocked,gfeas_block_rate,gcert_blocked,gcert_block_rate,gfeas_false_block_rate,gcert_false_block_rate,sep_feas_pass,sep_cert_block,sep_separated,sep_share
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,default,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,21,0.013125,63,0.039375,0.013125,0.039375,1579,63,42,0.026250
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,disabled,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,141,0.440625,144,0.450000,0.023750,0.050000,179,144,3,0.009375
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,disabled,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,81,0.202500,92,0.230000,0.023750,0.050000,319,92,11,0.027500
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,disabled,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,0,0.000000,396,0.900000,0.023750,0.050000,440,396,396,0.900000
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,disabled,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,0,0.000000,12,0.027273,0.023750,0.050000,440,12,12,0.027273
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,disabled,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,0,0.000000,14,0.035000,0.023750,0.050000,400,14,14,0.035000
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,disabled,pooled,V6,instruction-embedded injection,400,0,0.000000,0,0.000000,12,0.030000,0.023750,0.050000,398,12,12,0.030000
opus,"Claude Opus 5 (closed, flagship)",M_constrained,json_schema,disabled,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,38,0.023750,80,0.050000,0.023750,0.050000,1562,80,42,0.026250
opus,"Claude Opus 5 (closed, flagship)",M_free,none,default,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,32,0.100000,32,0.100000,0.280625,0.280625,38,32,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,default,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,25,0.062500,25,0.062500,0.280625,0.280625,16,25,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,default,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,109,0.247727,110,0.250000,0.280625,0.280625,1,110,1,0.002273
opus,"Claude Opus 5 (closed, flagship)",M_free,none,default,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,104,0.236364,104,0.236364,0.280625,0.280625,6,104,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,default,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,0,0.000000,7,0.017500,0.280625,0.280625,154,7,7,0.017500
opus,"Claude Opus 5 (closed, flagship)",M_free,none,default,pooled,V6,instruction-embedded injection,400,0,0.000000,13,0.032500,14,0.035000,0.280625,0.280625,25,14,1,0.002500
opus,"Claude Opus 5 (closed, flagship)",M_free,none,default,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,449,0.280625,449,0.280625,0.280625,0.280625,19,449,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,disabled,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",320,0,0.000000,38,0.118750,38,0.118750,0.229375,0.230625,19,38,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,disabled,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",400,0,0.000000,31,0.077500,33,0.082500,0.229375,0.230625,28,33,2,0.005000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,disabled,pooled,V3,quality (feasible but provably poor sequencing),440,0,0.000000,99,0.225000,106,0.240909,0.229375,0.230625,7,106,7,0.015909
opus,"Claude Opus 5 (closed, flagship)",M_free,none,disabled,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",440,0,0.000000,75,0.170455,75,0.170455,0.229375,0.230625,28,75,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,disabled,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),400,0,0.000000,0,0.000000,0,0.000000,0.229375,0.230625,76,0,0,0.000000
opus,"Claude Opus 5 (closed, flagship)",M_free,none,disabled,pooled,V6,instruction-embedded injection,400,0,0.000000,4,0.010000,5,0.012500,0.229375,0.230625,27,5,1,0.002500
opus,"Claude Opus 5 (closed, flagship)",M_free,none,disabled,pooled,benign,valid and unambiguous; the matched twins that price a false block,1600,0,0.000000,367,0.229375,369,0.230625,0.229375,0.230625,81,369,2,0.001250
sol,"GPT-5.6 Sol (closed, flagship spot-check)",M_constrained,json_schema,none,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",160,0,0.000000,48,0.300000,50,0.312500,0.060000,0.086250,112,50,2,0.012500
sol,"GPT-5.6 Sol (closed, flagship spot-check)",M_constrained,json_schema,none,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",200,0,0.000000,47,0.235000,52,0.260000,0.060000,0.086250,153,52,5,0.025000
sol,"GPT-5.6 Sol (closed, flagship spot-check)",M_constrained,json_schema,none,pooled,V3,quality (feasible but provably poor sequencing),220,0,0.000000,13,0.059091,194,0.881818,0.060000,0.086250,207,194,181,0.822727
sol,"GPT-5.6 Sol (closed, flagship spot-check)",M_constrained,json_schema,none,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",220,0,0.000000,9,0.040909,17,0.077273,0.060000,0.086250,211,17,8,0.036364
sol,"GPT-5.6 Sol (closed, flagship spot-check)",M_constrained,json_schema,none,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),200,0,0.000000,0,0.000000,7,0.035000,0.060000,0.086250,200,7,7,0.035000
sol,"GPT-5.6 Sol (closed, flagship spot-check)",M_constrained,json_schema,none,pooled,V6,instruction-embedded injection,200,0,0.000000,0,0.000000,6,0.030000,0.060000,0.086250,200,6,6,0.030000
sol,"GPT-5.6 Sol (closed, flagship spot-check)",M_constrained,json_schema,none,pooled,benign,valid and unambiguous; the matched twins that price a false block,800,0,0.000000,48,0.060000,69,0.086250,0.060000,0.086250,752,69,21,0.026250
