# DG14. Three deterministic delta baselines against the optimality certificate, on the 2000 items of the direct benchmark
# generated 2026-08-18 01:26:37 +0800 by code/scripts/delta_baselines.py (l1-dg14-delta-baselines-1)
# inputs:
#   direct     analysis/DG1_direct_guard.csv  sha256 32d8e190b4b0ecb725f2ae3ddcf506dec062e736fb6b0d725a273a3f35293a4f
#   summary    analysis/DG1_direct_guard_summary.csv  sha256 e48e336e549d1a02342750d56648fe37f42c6390d3acfb6039bb26f89f9a91bb
#   anchor     analysis/ladder/rule_anchor.csv  sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
#   suite      code/suite/v0.2/suite.jsonl  sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   tau_sweep  analysis/DG1_direct_guard_tau.csv  sha256 501a83cc68a8e2221b99ac8c9c1380510afaeb9fb8dfdd47c2be7786be498572
#   macros     manuscript/macros.tex  (read for the two published shares only)
# the delta rules REPLACE THE QUALITY STAGE ONLY: the schema and feasibility verdicts of the logged run are reused unchanged, so the 365 items blocked before the quality stage stay blocked under every guard here
# WT_prop  = obj_bh of the logged run (adjusted fields); recomputed here and asserted equal
# WT_ref1  = no-op dispatch of the UNADJUSTED instance (analysis/ladder/rule_anchor.csv, one per instance)
# WT_ref2  = the same adjusted fields dispatched with the proposal's added dispatch constraints removed (l1suite/checks.py::measure)
# D-REL1 refuses iff (WT_prop-WT_ref1)/max(WT_ref1,1) > theta;  D-REL2 the same against WT_ref2;  D-ABS refuses iff WT_prop-WT_ref1 > A bh
# every WT difference is rounded to 6 decimals in bh before it is thresholded, which is what l1suite/checks.py::measure does to the suite's stored badness
# D-REL1-ORIG is a SENSITIVITY, not a headline baseline: it scores both sides on the instance's original fields
# G-CERT is the deployed certificate, refusing iff the Tier-2 certified gap exceeds the tolerance; its tau=0.2 row is the manuscript's published operating point
# tolerance grid (50 values): 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 1
# absolute grid (20 values, bh): 0.5, 0.6371, 0.8119, 1.0346, 1.3183, 1.6799, 2.1407, 2.7278, 3.476, 4.4293, 5.6442, 7.1922, 9.1649, 11.6786, 14.8818, 18.9635, 24.1647, 30.7924, 39.238, 50
# matched operating point: the setting whose benign false-block count is at most the certificate's (21), maximising V3 refusals, ties to higher overall violation refusal, then fewer benign false blocks, then the widest tolerance
# refused_share denominator = all class items (the convention the published macros use); refused_share_nonempty denominator = items carrying a non-empty proposal
# no randomness anywhere; the dispatcher is deterministic at (rule=atc, seed=0); 1635 counterfactual references recomputed in 48.6 s on 12 worker(s)
# self-check: 118 assertions passed
block,guard,setting_kind,setting,class,items,nonempty_items,reached_qual,pre_qual_refused,qual_refused,refused,refused_share,refused_share_nonempty,stat,note
sweep,D-REL1,theta,0.27,violations_all,1200,945,835,365,214,579,48.2500,61.2698,,
sweep,D-REL1,theta,0.27,all,2000,1745,1635,365,218,583,29.1500,33.4097,,
sweep,D-REL1,theta,0.28,benign,800,800,800,0,4,4,0.5000,0.5000,,
sweep,D-REL1,theta,0.28,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.28,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.28,V3,220,220,220,0,172,172,78.1818,78.1818,,
sweep,D-REL1,theta,0.28,V4,220,220,220,0,32,32,14.5455,14.5455,,
sweep,D-REL1,theta,0.28,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.28,V6,200,175,165,35,3,38,19.0000,21.7143,,
sweep,D-REL1,theta,0.28,violations_all,1200,945,835,365,207,572,47.6667,60.5291,,
sweep,D-REL1,theta,0.28,all,2000,1745,1635,365,211,576,28.8000,33.0086,,
sweep,D-REL1,theta,0.29,benign,800,800,800,0,4,4,0.5000,0.5000,,
sweep,D-REL1,theta,0.29,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.29,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.29,V3,220,220,220,0,171,171,77.7273,77.7273,,
sweep,D-REL1,theta,0.29,V4,220,220,220,0,32,32,14.5455,14.5455,,
sweep,D-REL1,theta,0.29,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.29,V6,200,175,165,35,3,38,19.0000,21.7143,,
sweep,D-REL1,theta,0.29,violations_all,1200,945,835,365,206,571,47.5833,60.4233,,
sweep,D-REL1,theta,0.29,all,2000,1745,1635,365,210,575,28.7500,32.9513,,
sweep,D-REL1,theta,0.3,benign,800,800,800,0,4,4,0.5000,0.5000,,
sweep,D-REL1,theta,0.3,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.3,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.3,V3,220,220,220,0,171,171,77.7273,77.7273,,
sweep,D-REL1,theta,0.3,V4,220,220,220,0,32,32,14.5455,14.5455,,
sweep,D-REL1,theta,0.3,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.3,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.3,violations_all,1200,945,835,365,204,569,47.4167,60.2116,,
sweep,D-REL1,theta,0.3,all,2000,1745,1635,365,208,573,28.6500,32.8367,,
sweep,D-REL1,theta,0.31,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.31,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.31,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.31,V3,220,220,220,0,168,168,76.3636,76.3636,,
sweep,D-REL1,theta,0.31,V4,220,220,220,0,31,31,14.0909,14.0909,,
sweep,D-REL1,theta,0.31,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.31,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.31,violations_all,1200,945,835,365,200,565,47.0833,59.7884,,
sweep,D-REL1,theta,0.31,all,2000,1745,1635,365,202,567,28.3500,32.4928,,
sweep,D-REL1,theta,0.32,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.32,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.32,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.32,V3,220,220,220,0,165,165,75.0000,75.0000,,
sweep,D-REL1,theta,0.32,V4,220,220,220,0,31,31,14.0909,14.0909,,
sweep,D-REL1,theta,0.32,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.32,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.32,violations_all,1200,945,835,365,197,562,46.8333,59.4709,,
sweep,D-REL1,theta,0.32,all,2000,1745,1635,365,199,564,28.2000,32.3209,,
sweep,D-REL1,theta,0.33,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.33,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.33,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.33,V3,220,220,220,0,164,164,74.5455,74.5455,,
sweep,D-REL1,theta,0.33,V4,220,220,220,0,30,30,13.6364,13.6364,,
sweep,D-REL1,theta,0.33,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.33,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.33,violations_all,1200,945,835,365,195,560,46.6667,59.2593,,
sweep,D-REL1,theta,0.33,all,2000,1745,1635,365,197,562,28.1000,32.2063,,
sweep,D-REL1,theta,0.34,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.34,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.34,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.34,V3,220,220,220,0,163,163,74.0909,74.0909,,
sweep,D-REL1,theta,0.34,V4,220,220,220,0,28,28,12.7273,12.7273,,
sweep,D-REL1,theta,0.34,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.34,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.34,violations_all,1200,945,835,365,192,557,46.4167,58.9418,,
sweep,D-REL1,theta,0.34,all,2000,1745,1635,365,194,559,27.9500,32.0344,,
sweep,D-REL1,theta,0.35,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.35,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.35,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.35,V3,220,220,220,0,160,160,72.7273,72.7273,,
sweep,D-REL1,theta,0.35,V4,220,220,220,0,25,25,11.3636,11.3636,,
sweep,D-REL1,theta,0.35,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.35,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.35,violations_all,1200,945,835,365,186,551,45.9167,58.3069,,
sweep,D-REL1,theta,0.35,all,2000,1745,1635,365,188,553,27.6500,31.6905,,
sweep,D-REL1,theta,0.36,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.36,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.36,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.36,V3,220,220,220,0,155,155,70.4545,70.4545,,
sweep,D-REL1,theta,0.36,V4,220,220,220,0,24,24,10.9091,10.9091,,
sweep,D-REL1,theta,0.36,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.36,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.36,violations_all,1200,945,835,365,180,545,45.4167,57.6720,,
sweep,D-REL1,theta,0.36,all,2000,1745,1635,365,182,547,27.3500,31.3467,,
sweep,D-REL1,theta,0.37,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.37,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.37,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.37,V3,220,220,220,0,152,152,69.0909,69.0909,,
sweep,D-REL1,theta,0.37,V4,220,220,220,0,24,24,10.9091,10.9091,,
sweep,D-REL1,theta,0.37,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.37,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.37,violations_all,1200,945,835,365,177,542,45.1667,57.3545,,
sweep,D-REL1,theta,0.37,all,2000,1745,1635,365,179,544,27.2000,31.1748,,
sweep,D-REL1,theta,0.38,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.38,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.38,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.38,V3,220,220,220,0,149,149,67.7273,67.7273,,
sweep,D-REL1,theta,0.38,V4,220,220,220,0,23,23,10.4545,10.4545,,
sweep,D-REL1,theta,0.38,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.38,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.38,violations_all,1200,945,835,365,173,538,44.8333,56.9312,,
sweep,D-REL1,theta,0.38,all,2000,1745,1635,365,175,540,27.0000,30.9456,,
sweep,D-REL1,theta,0.39,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.39,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.39,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.39,V3,220,220,220,0,146,146,66.3636,66.3636,,
sweep,D-REL1,theta,0.39,V4,220,220,220,0,22,22,10.0000,10.0000,,
sweep,D-REL1,theta,0.39,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.39,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.39,violations_all,1200,945,835,365,169,534,44.5000,56.5079,,
sweep,D-REL1,theta,0.39,all,2000,1745,1635,365,171,536,26.8000,30.7163,,
sweep,D-REL1,theta,0.4,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.4,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.4,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.4,V3,220,220,220,0,144,144,65.4545,65.4545,,
sweep,D-REL1,theta,0.4,V4,220,220,220,0,22,22,10.0000,10.0000,,
sweep,D-REL1,theta,0.4,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.4,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.4,violations_all,1200,945,835,365,167,532,44.3333,56.2963,,
sweep,D-REL1,theta,0.4,all,2000,1745,1635,365,169,534,26.7000,30.6017,,
sweep,D-REL1,theta,0.41,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.41,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.41,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.41,V3,220,220,220,0,144,144,65.4545,65.4545,,
sweep,D-REL1,theta,0.41,V4,220,220,220,0,21,21,9.5455,9.5455,,
sweep,D-REL1,theta,0.41,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.41,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.41,violations_all,1200,945,835,365,166,531,44.2500,56.1905,,
sweep,D-REL1,theta,0.41,all,2000,1745,1635,365,168,533,26.6500,30.5444,,
sweep,D-REL1,theta,0.42,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.42,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.42,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.42,V3,220,220,220,0,141,141,64.0909,64.0909,,
sweep,D-REL1,theta,0.42,V4,220,220,220,0,21,21,9.5455,9.5455,,
sweep,D-REL1,theta,0.42,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.42,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.42,violations_all,1200,945,835,365,163,528,44.0000,55.8730,,
sweep,D-REL1,theta,0.42,all,2000,1745,1635,365,165,530,26.5000,30.3725,,
sweep,D-REL1,theta,0.43,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.43,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.43,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.43,V3,220,220,220,0,134,134,60.9091,60.9091,,
sweep,D-REL1,theta,0.43,V4,220,220,220,0,20,20,9.0909,9.0909,,
sweep,D-REL1,theta,0.43,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.43,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.43,violations_all,1200,945,835,365,155,520,43.3333,55.0265,,
sweep,D-REL1,theta,0.43,all,2000,1745,1635,365,157,522,26.1000,29.9140,,
sweep,D-REL1,theta,0.44,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.44,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.44,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.44,V3,220,220,220,0,133,133,60.4545,60.4545,,
sweep,D-REL1,theta,0.44,V4,220,220,220,0,20,20,9.0909,9.0909,,
sweep,D-REL1,theta,0.44,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.44,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.44,violations_all,1200,945,835,365,154,519,43.2500,54.9206,,
sweep,D-REL1,theta,0.44,all,2000,1745,1635,365,156,521,26.0500,29.8567,,
sweep,D-REL1,theta,0.45,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.45,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.45,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.45,V3,220,220,220,0,128,128,58.1818,58.1818,,
sweep,D-REL1,theta,0.45,V4,220,220,220,0,20,20,9.0909,9.0909,,
sweep,D-REL1,theta,0.45,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.45,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.45,violations_all,1200,945,835,365,149,514,42.8333,54.3915,,
sweep,D-REL1,theta,0.45,all,2000,1745,1635,365,151,516,25.8000,29.5702,,
sweep,D-REL1,theta,0.46,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.46,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.46,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.46,V3,220,220,220,0,125,125,56.8182,56.8182,,
sweep,D-REL1,theta,0.46,V4,220,220,220,0,20,20,9.0909,9.0909,,
sweep,D-REL1,theta,0.46,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.46,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.46,violations_all,1200,945,835,365,146,511,42.5833,54.0741,,
sweep,D-REL1,theta,0.46,all,2000,1745,1635,365,148,513,25.6500,29.3983,,
sweep,D-REL1,theta,0.47,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.47,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.47,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.47,V3,220,220,220,0,124,124,56.3636,56.3636,,
sweep,D-REL1,theta,0.47,V4,220,220,220,0,20,20,9.0909,9.0909,,
sweep,D-REL1,theta,0.47,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.47,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.47,violations_all,1200,945,835,365,145,510,42.5000,53.9683,,
sweep,D-REL1,theta,0.47,all,2000,1745,1635,365,147,512,25.6000,29.3410,,
sweep,D-REL1,theta,0.48,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.48,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.48,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.48,V3,220,220,220,0,122,122,55.4545,55.4545,,
sweep,D-REL1,theta,0.48,V4,220,220,220,0,20,20,9.0909,9.0909,,
sweep,D-REL1,theta,0.48,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.48,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.48,violations_all,1200,945,835,365,143,508,42.3333,53.7566,,
sweep,D-REL1,theta,0.48,all,2000,1745,1635,365,145,510,25.5000,29.2264,,
sweep,D-REL1,theta,0.49,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.49,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.49,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.49,V3,220,220,220,0,122,122,55.4545,55.4545,,
sweep,D-REL1,theta,0.49,V4,220,220,220,0,18,18,8.1818,8.1818,,
sweep,D-REL1,theta,0.49,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.49,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.49,violations_all,1200,945,835,365,141,506,42.1667,53.5450,,
sweep,D-REL1,theta,0.49,all,2000,1745,1635,365,143,508,25.4000,29.1117,,
sweep,D-REL1,theta,0.5,benign,800,800,800,0,2,2,0.2500,0.2500,,
sweep,D-REL1,theta,0.5,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.5,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.5,V3,220,220,220,0,119,119,54.0909,54.0909,,
sweep,D-REL1,theta,0.5,V4,220,220,220,0,18,18,8.1818,8.1818,,
sweep,D-REL1,theta,0.5,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.5,V6,200,175,165,35,1,36,18.0000,20.5714,,
sweep,D-REL1,theta,0.5,violations_all,1200,945,835,365,138,503,41.9167,53.2275,,
sweep,D-REL1,theta,0.5,all,2000,1745,1635,365,140,505,25.2500,28.9398,,
sweep,D-REL1,theta,1,benign,800,800,800,0,1,1,0.1250,0.1250,,
sweep,D-REL1,theta,1,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,1,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,1,V3,220,220,220,0,54,54,24.5455,24.5455,,
sweep,D-REL1,theta,1,V4,220,220,220,0,5,5,2.2727,2.2727,,
sweep,D-REL1,theta,1,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,1,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL1,theta,1,violations_all,1200,945,835,365,59,424,35.3333,44.8677,,
sweep,D-REL1,theta,1,all,2000,1745,1635,365,60,425,21.2500,24.3553,,
sweep,D-REL2,theta,0.02,benign,800,800,800,0,0,0,0.0000,0.0000,,
sweep,D-REL2,theta,0.02,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL2,theta,0.02,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL2,theta,0.02,V3,220,220,220,0,217,217,98.6364,98.6364,,
sweep,D-REL2,theta,0.02,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL2,theta,0.02,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL2,theta,0.02,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL2,theta,0.02,violations_all,1200,945,835,365,267,632,52.6667,66.8783,,
sweep,D-REL2,theta,0.02,all,2000,1745,1635,365,267,632,31.6000,36.2178,,
sweep,D-REL2,theta,0.03,benign,800,800,800,0,0,0,0.0000,0.0000,,
sweep,D-REL2,theta,0.03,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL2,theta,0.03,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL2,theta,0.03,V3,220,220,220,0,214,214,97.2727,97.2727,,
sweep,D-REL2,theta,0.03,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL2,theta,0.03,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL2,theta,0.03,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL2,theta,0.03,violations_all,1200,945,835,365,264,629,52.4167,66.5608,,
sweep,D-REL2,theta,0.03,all,2000,1745,1635,365,264,629,31.4500,36.0458,,
sweep,D-REL2,theta,0.04,benign,800,800,800,0,0,0,0.0000,0.0000,,
sweep,D-REL2,theta,0.04,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL2,theta,0.04,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL2,theta,0.04,V3,220,220,220,0,214,214,97.2727,97.2727,,
sweep,D-REL2,theta,0.04,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL2,theta,0.04,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL2,theta,0.04,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL2,theta,0.04,violations_all,1200,945,835,365,264,629,52.4167,66.5608,,
sweep,D-REL2,theta,0.04,all,2000,1745,1635,365,264,629,31.4500,36.0458,,
sweep,D-REL2,theta,0.05,benign,800,800,800,0,0,0,0.0000,0.0000,,
sweep,D-REL2,theta,0.05,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL2,theta,0.05,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL2,theta,0.05,V3,220,220,220,0,213,213,96.8182,96.8182,,
sweep,D-REL2,theta,0.05,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL2,theta,0.05,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL2,theta,0.05,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL2,theta,0.05,violations_all,1200,945,835,365,263,628,52.3333,66.4550,,
sweep,D-REL2,theta,0.05,all,2000,1745,1635,365,263,628,31.4000,35.9885,,
sweep,D-REL2,theta,0.06,benign,800,800,800,0,0,0,0.0000,0.0000,,
sweep,D-REL2,theta,0.06,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL2,theta,0.06,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL2,theta,0.06,V3,220,220,220,0,211,211,95.9091,95.9091,,
sweep,D-REL2,theta,0.06,V4,220,220,220,0,48,48,21.8182,21.8182,,
sweep,D-REL2,theta,0.06,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL2,theta,0.06,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL2,theta,0.06,violations_all,1200,945,835,365,259,624,52.0000,66.0317,,
sweep,D-REL2,theta,0.06,all,2000,1745,1635,365,259,624,31.2000,35.7593,,
sweep,D-REL2,theta,0.07,benign,800,800,800,0,0,0,0.0000,0.0000,,
sweep,D-REL2,theta,0.07,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL2,theta,0.07,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL2,theta,0.07,V3,220,220,220,0,211,211,95.9091,95.9091,,
sweep,D-REL2,theta,0.07,V4,220,220,220,0,48,48,21.8182,21.8182,,
sweep,D-REL2,theta,0.07,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL2,theta,0.07,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL2,theta,0.07,violations_all,1200,945,835,365,259,624,52.0000,66.0317,,
sweep,D-REL2,theta,0.07,all,2000,1745,1635,365,259,624,31.2000,35.7593,,
sweep,D-REL2,theta,0.08,benign,800,800,800,0,0,0,0.0000,0.0000,,
sweep,D-REL2,theta,0.08,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL2,theta,0.08,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL2,theta,0.08,V3,220,220,220,0,208,208,94.5455,94.5455,,
sweep,D-REL2,theta,0.08,V4,220,220,220,0,48,48,21.8182,21.8182,,
sweep,D-REL2,theta,0.08,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL2,theta,0.08,V6,200,175,165,35,0,35,17.5000,20.0000,,
sweep,D-REL2,theta,0.08,violations_all,1200,945,835,365,256,621,51.7500,65.7143,,
sweep,D-REL2,theta,0.08,all,2000,1745,1635,365,256,621,31.0500,35.5874,,
